Interval,SHAP Values
2022-04-25 19:00:00 - 2022-04-25 19:15:00,"[[[0.030115288836386013, -0.03011528883638488], [0.0011116749581903008, -0.001111674958191077], [0.03581020614527811, -0.03581020614527183], [0.09108360748119904, -0.09108360748117936], [0.1488866200235018, -0.14888662002345698]]]"
2022-04-25 19:15:00 - 2022-04-25 19:30:00,"[[[0.05132060945498804, -0.0513206094549598], [0.010804370488099225, -0.010804370488097978], [0.03862598203815169, -0.03862598203814357], [0.06505960268578503, -0.06505960268576243], [0.08119683277754142, -0.0811968327775161]]]"
2022-04-25 19:30:00 - 2022-04-25 19:45:00,"[[[0.02793926481081888, -0.02793926481082161], [-0.0065908508980095735, 0.006590850898009499], [-0.0020099188217115854, 0.0020099188217108464], [0.024560921884589554, -0.024560921884592114], [-0.03689201953116989, 0.03689201953117365]]]"
2022-04-25 19:45:00 - 2022-04-25 20:00:00,"[[[-0.004731651959373139, 0.004731651959373417], [-0.037735967662780014, 0.03773596766279514], [-0.002256171973145825, 0.002256171973145379], [-0.02406564101221598, 0.024065641012212164], [-0.09420316994794828, 0.09420316994797065]]]"
2022-04-25 20:00:00 - 2022-04-25 20:15:00,"[[[0.037384066682802156, -0.03738406668279548], [0.06859362854435583, -0.06859362854433165], [0.06020025257916511, -0.06020025257914924], [0.08262326347426585, -0.082623263474244], [0.1682061861639991, -0.1682061861639294]]]"
2022-04-25 20:15:00 - 2022-04-25 20:30:00,"[[[-0.06508791478983256, 0.06508791478985472], [-0.05962681650589196, 0.05962681650590814], [-0.005753857577241205, 0.0057538575772399115], [-0.07441779360152594, 0.07441779360155024], [0.0018937799190435864, -0.0018937799190427598]]]"
2022-04-25 20:30:00 - 2022-04-25 20:45:00,"[[[-0.05465754927514033, 0.05465754927515596], [-0.08080667889787903, 0.08080667889790145], [-0.01592839769116052, 0.015928397691164595], [-0.10564585177648586, 0.10564585177650712], [-0.01595412491478129, 0.015954124914781327]]]"
2022-04-25 20:45:00 - 2022-04-25 21:00:00,"[[[0.010003007472962023, -0.010003007472960785], [-0.0030883852227639084, 0.0030883852227633793], [-0.010768951440964313, 0.010768951440965603], [-0.04320012964696337, 0.04320012964697056], [-0.015938143717746534, 0.015938143717745795]]]"
